ID	DEPTH	Degree
324	2.836447201	1
40	3.274015017	1
1891	3.963442455	1
1696	4.086796624	1
94	4.453505691	1
2274	4.647875447	1
2398	4.841665051	1
2557	5.52553127	1
2053	6.005609156	1
2091	6.025874017	1
487	6.139220128	1
2224	6.391489627	1
1399	6.511989519	1
1333	6.539701087	1
622	6.587620387	1
888	6.710983599	1
1118	6.765012261	1
1581	6.895048901	1
2506	6.920831418	1
1132	7.252497419	1
1392	7.310516234	1
1009	7.384455978	1
1731	7.407032546	1
1188	7.458027125	1
344	7.479647712	1
450	7.55995605	1
1194	7.606794306	1
1780	7.610893398	1
2042	8.24143219	1
1579	8.316944937	1
660	8.328278965	1
533	8.541791165	1
1259	8.850636329	1
1782	8.85561322	1
2332	8.979394172	1
1371	9.011046465	1
36	9.130922624	1
1070	9.350207581	1
397	9.505980644	1
577	9.51856415	1
626	9.844389027	1
2604	9.956258613	1
268	10.04502434	1
2210	10.06447494	1
2401	10.09348373	1
2192	10.34909303	1
724	10.40457186	1
225	10.4178071	1
1734	10.46963222	1
2167	10.57247626	1
2576	10.59221389	1
1432	10.60312038	1
704	10.62017142	1
920	10.7170757	1
229	10.80237475	1
458	10.81013358	1
1358	10.84506481	1
2587	10.95259294	1
2334	10.97844013	1
95	11.0328961	1
757	11.10580743	1
2040	11.12582696	1
611	11.14755139	1
2581	11.1618445	1
1978	11.17644897	1
1860	11.29711152	1
2558	11.45382108	1
1599	11.66865348	1
1111	11.68100967	1
607	11.7077377	1
347	11.7261383	1
1439	11.86368666	1
1195	11.87455475	1
2069	11.87515348	1
340	11.90417635	1
2087	11.92123588	1
760	12.07602479	1
2160	12.47786386	1
1608	12.6320842	1
2161	12.80373472	1
164	12.96236231	1
1486	13.01741222	1
1266	13.09635444	1
1039	13.12021168	1
2061	13.36204521	1
53	13.56643806	1
683	13.60398711	1
1855	13.77609975	1
1038	13.8004846	1
566	13.84509915	1
2440	13.86177152	1
2578	13.93435482	1
1884	13.99433026	1
1197	14.03094779	1
682	14.04424319	1
317	14.11186064	1
1376	14.18792059	1
893	14.31084088	1
1966	14.3189893	1
1024	14.48684539	1
1005	14.51262145	1
670	14.52712426	1
744	14.5757913	1
1610	14.62994062	1
1441	14.68030951	1
1459	14.70570943	1
18	14.76382432	1
2376	14.89495961	1
2243	14.9459037	1
1869	15.10867224	1
1255	15.24768997	1
1692	15.27337691	1
1437	15.3519644	1
886	15.41404386	1
2251	15.46962459	1
1662	15.47063185	1
1623	15.5473904	1
779	15.6627001	1
1184	15.668115	1
1721	15.6743484	1
2008	15.76182867	1
2420	15.76834266	1
714	15.83941885	1
269	15.97614175	1
2351	16.01026752	1
1547	16.05178025	1
1874	16.10457733	1
1494	16.11218406	1
1102	16.13759879	1
1538	16.14190198	1
2163	16.50503868	1
2544	16.53256434	1
1306	16.59945792	1
503	16.63426883	1
549	16.7315523	1
1512	16.85029747	1
1393	17.13240006	1
2179	17.21970495	1
2263	17.23450025	1
1795	17.23814697	1
1223	17.37915894	1
